publishedAt,title,trade_day,sentiment_score
2024-11-27 13:01:05+00:00,"Border Patrol trains more chaplains as the job and polarizing immigration debate rattle agents Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
D As immigration remains a hotly contested priority for the Trump administration after playing a decisive role in the deeply polarized election, the Border...",2024-11-27,0.6908
2024-11-28 16:23:33+00:00,"TD Cowen Initiates ‘Buy’ on Pinterest, Inc. (PINS) with $38 Target, Highlights AI-Driven Monetization Potential and Strong Product Discovery Usage  ",2024-11-29,0.5106
2024-12-05 11:12:01+00:00,"I left teaching to go back to school and learn to launch satellites. It was the right move even though it didn't make me significantly happier. It was 7 a.m., and I was sitting on top of my coworker's shoulders, trying to retrieve a teddy bear that someone had thrown into the rafter holding the second stage of the Saturn V rocket.
At the ti Katie K taught at one of the coolest places on Earth. Her coworkers were astronauts. She hung around rockets. But it wasn't as great as it seemed.",2024-12-05,-0.4293
2024-12-09 22:37:09+00:00,"What we know about Luigi Mangione, the former Ivy League grad arrested and linked to UnitedHealthcare CEO's killing Luigi Mangioni's entry in the Gilman School class of 2016 yearbook.Anonymous
<ul><li>Luigi Mangione has been arrested in an investigation into UnitedHealth CEO Brian Thompson's killing.</li><li>Mang Luigi Mangione, identified as a person of interest in Brian Thompson killing, founded an app and reviewed The Unabomber Manifesto.",2024-12-10,-0.9186
2024-12-11 15:56:02+00:00,"I slept with a baby monitor until I left for college. It allowed my parents to care for me and not share a room. The author, in green, slept with a baby monitor next to her bed until she left for college.Courtesy of the author
<ul><li>When I was 11 years old, I had my first epilepsy seizure. </li><li>I started I was diagnosed with epilepsy and most of my episodes happened upon waking up. I stopped using the baby monitor when I left for college.",2024-12-11,0.1058
2024-12-16 17:04:22+00:00,"A golf apparel brand loved by Chris Paul and Stephen Curry is breaking barriers in the sport. Here's how. Earl Cooper and Olajuwon Ajanaku are the founders of Eastside Golf.Eastside Golf
<ul><li>2024 has been a landmark year for Eastside Golf.</li><li>The golf apparel brand was founded in 2019 by Olajuw Eastside Golf has had a landmark year. The apparel brand loved by Chris Paul and Stephen Curry is helping make golf more accessible and inclusive.",2024-12-17,0.891
2024-12-18 17:07:18+00:00,"I shopped in Target's dollar section and loved its options for last-minute gifts and stocking stuffers The author went to Target's dollar section for stocking stuffers and last-minute gifts.JHVEPhoto/Shutterstock
<ul><li>I visited my local Target in New Jersey to shop for gifts in its ""Bullseye's Pla I went to Target's ""Bullseye's Playground"" section for last-minute gifts and was impressed with the wide range of options.",2024-12-19,0.7906
2024-12-19 17:13:04+00:00,"Wall Street Pins Hopes On Friday's Crucial Fed Inflation Report: Miracle Needed To Shift Narrative Wall Street Pins Hopes On Friday's Crucial Fed Inflation Report: Miracle Needed To Shift Narrative
If markets hope to recover from the sharp sell-off triggered by the Federal Reserves December meeti If markets hope to recover from the sharp sell-off triggered by the Federal Reserve’s December meeting, Friday's release of the Personal Consumption...",2024-12-20,0.9584
